name,permalink,gender,feedGender,images,feedProductId,brandName,feedBrandName,categoryName,feedCategoryName,modelingName,available,sizeType,feedSizes,ageGroup,feedAgeGroup,strongBrandName,strongCategoryType,strongCategoryName,strongSubcategoryName,strongModelName,strongModelingName,weightStyle,sizeSystem,useStrongModeling,barcodes,availableSizes
Calça Mom Slim Marrom Brigadeiro,https://www.carmensteffens.com.br/HC608821621,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v7971929060999062560/products/HC608821621_1.jpg,HC608821621,Carmen Steffens,Carmen Steffens,Jeans,,INFERIOR (F),TRUE,,36|38|40|42|44,adult,adult,,clothes,,,,,0.0,BR,FALSE,,36|38|40|42|44
Calça Alfaiataria Preto,https://www.carmensteffens.com.br/OC714833001,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v4193762786097406979/products/OC714833001.jpg,OC714833001,Carmen Steffens,MIX INVERNO 2022,2 Inferior,,INFERIOR (F),TRUE,,P,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P
Saída de Praia Dressing Longa Estampada,https://www.carmensteffens.com.br/PS508833665,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v3553001711868141131/products/PS508833665_1.jpg,PS508833665,Carmen Steffens,INVERNO 2026,INVERNO 2026,,TABELA VERÃO CORPO TODO (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
Biquíni Tomara que Caia Asa Delta Bordô Cherry,https://www.carmensteffens.com.br/PA008833031,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v3358545033042561683/products/PA008833031_1.jpg,PA008833031,Carmen Steffens,INVERNO 2026,INVERNO 2026,,TABELA VERÃO CORPO TODO (F),TRUE,,G|M|P|PP,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G|GG
Vestido Tricô Drapeado Bordô Cherry,https://www.carmensteffens.com.br/HV878922031,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v8709585146636057415/products/HV878922031_1.jpg,HV878922031,Carmen Steffens,INVERNO 2026,3 Corpo Todo,,CORPO TODO (F),TRUE,,G|M|P|PP,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
Vestido Organic Handmade Longo Preto,https://www.carmensteffens.com.br/HV468152001,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v49288567895038450/products/HV468152001_.jpg,HV468152001,Carmen Steffens,INVERNO 2026,3 Corpo Todo,,CORPO TODO (F),TRUE,,G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,M|G
Vestido Glam Nature Marfim,https://www.carmensteffens.com.br/HV318464537,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v5648024745582573051/products/HV318464537_1.jpg,HV318464537,Carmen Steffens,INVERNO 2026,3 Corpo Todo,,CORPO TODO (F),TRUE,,G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,M|G
Vestido New Mídi Cutoff Basic Bordô Cherry,https://www.carmensteffens.com.br/HV238833031,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v2575137244152307888/products/HV238833031_1.jpg,HV238833031,Carmen Steffens,INVERNO 2026,3 Corpo Todo,,CORPO TODO (F),TRUE,,GG,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G|GG
Vestido New Mídi Cutoff Basic Preto,https://www.carmensteffens.com.br/HV238833001,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v2250331265028715067/products/HV238833001_1.jpg,HV238833001,Carmen Steffens,INVERNO 2026,3 Corpo Todo,,CORPO TODO (F),TRUE,,PP,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G|GG
Vestido Frente Única Handmade Preto,https://www.carmensteffens.com.br/HV178152001,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v6537733220728579988/products/HV178152001_1.jpg,HV178152001,Carmen Steffens,INVERNO 2026,3 Corpo Todo,,CORPO TODO (F),TRUE,,G|M|P|PP,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
