name,permalink,gender,feedGender,images,feedProductId,brandName,feedBrandName,categoryName,feedCategoryName,modelingName,available,sizeType,feedSizes,ageGroup,feedAgeGroup,strongBrandName,strongCategoryType,strongCategoryName,strongSubcategoryName,strongModelName,strongModelingName,weightStyle,sizeSystem,useStrongModeling,barcodes,availableSizes
Tênis Masculino Urban Scape Mormaii 203401 MARINHO 37,https://www.clovis.com.br/tenis-masculino-urban-scape-mormaii-203401-marinho-4573401007/p,male,male,https://cloviscalcados.vteximg.com.br/arquivos/ids/1604398_2,2147386701,Mormaii,Mormaii,TÊNIS,Masculino - Tênis,MORMAII CALÇADOS (M),true,,,adult,adult,,shoe,Tênis,,,,0.0,BR,false,,37
Tênis Masculino Urban Scape Mormaii 203401 CAQUI 37,https://www.clovis.com.br/tenis-masculino-urban-scape-mormaii-203401-caqui-4573401036/p,male,male,https://cloviscalcados.vteximg.com.br/arquivos/ids/1604458_2,2147386702,Mormaii,Mormaii,TÊNIS,Masculino - Tênis,MORMAII CALÇADOS (M),true,,,adult,adult,,shoe,Tênis,,,,0.0,BR,false,,37
Tênis Masculino Groove Full Liht Democrata 240701 PRETO/BRANCO 37,https://www.clovis.com.br/tenis-masculino-groove-full-liht-democrata-240701-pretobranco-2620701034/p,male,male,https://cloviscalcados.vteximg.com.br/arquivos/ids/1603546_2,2147386679,Democrata,Democrata,TÊNIS,Masculino - Tênis,DEMOCRATA ADULTO (M),true,,,adult,adult,,shoe,Tênis,,,,0.0,BR,false,,37
Tênis Masculino Groove Full Liht Democrata 240701 CINZA 37,https://www.clovis.com.br/tenis-masculino-groove-full-liht-democrata-240701-cinza-2620701032/p,male,male,https://cloviscalcados.vteximg.com.br/arquivos/ids/1604094_2,2147386692,Democrata,Democrata,TÊNIS,Masculino - Tênis,DEMOCRATA ADULTO (M),true,,,adult,adult,,shoe,Tênis,,,,0.0,BR,false,,37
Tênis Masculino Go Walk Max Glide Step 2.0 Skechers 217020 CINZA/BEGE 38,https://www.clovis.com.br/tenis-masculino-go-walk-max-glide-step-20-skechers-217020-cinzabege-5677020061/p,male,male,https://cloviscalcados.vteximg.com.br/arquivos/ids/1606309_2,2147386782,Skechers,Skechers,TÊNIS,Masculino - Tênis,SKECHERS ADULTO (M),true,,,adult,adult,,shoe,Tênis,,,,0.0,BR,false,,38
Tênis Masculino Beats Olympikus 43701259 PRETO 45,https://www.clovis.com.br/tenis-masculino-beats-olympikus-43701259-preto-0232259001/p,male,male,https://cloviscalcados.vteximg.com.br/arquivos/ids/1607455_2,2147386820,Olympikus,Olympikus,TÊNIS,Masculino - Tênis,OLYMPIKUS ADULTO (M),true,,,adult,adult,,shoe,Tênis,,,,0.0,BR,false,,45
Tênis Masculino Beats Olympikus 43701259 MARINHO 45,https://www.clovis.com.br/tenis-masculino-beats-olympikus-43701259-marinho-0232259007/p,male,male,https://cloviscalcados.vteximg.com.br/arquivos/ids/1607410_2,2147386819,Olympikus,Olympikus,TÊNIS,Masculino - Tênis,OLYMPIKUS ADULTO (M),true,,,adult,adult,,shoe,Tênis,,,,0.0,BR,false,,45
Tênis Masculino Actvitta 4938106 PRETO 38,https://www.clovis.com.br/tenis-masculino-actvitta-4938106-preto-b0448106001/p,male,male,https://cloviscalcados.vteximg.com.br/arquivos/ids/1604323_2,2147386695,Actvitta,Actvitta,TÊNIS,Masculino - Tênis,ACTVITTA ADULTO (M),true,,,adult,adult,,shoe,Tênis,,,,0.0,BR,false,,38
Tênis Masculino Actvitta 4938106 AZUL/PRETO 38,https://www.clovis.com.br/tenis-masculino-actvitta-4938106-azulpreto-b0448106088/p,male,male,https://cloviscalcados.vteximg.com.br/arquivos/ids/1604303_2,2147386696,Actvitta,Actvitta,TÊNIS,Masculino - Tênis,ACTVITTA ADULTO (M),true,,,adult,adult,,shoe,Tênis,,,,0.0,BR,false,,38
Tênis Infantil Stream Olympikus - 43772253 PRETO 33,https://www.clovis.com.br/tenis-infantil-stream-olympikus---43772253-preto-0232253001/p,male,male,https://cloviscalcados.vteximg.com.br/arquivos/ids/1008546_2,209146,Olympikus,Olympikus,TÊNIS,Infantil - Menino - Tênis,OLYMPIKUS INFANTIL (M),true,,,kids,kids,,shoe,Tênis,,,,0.0,BR,false,,33
Tênis Infantil Stream Olympikus - 43772253 MARINHO/ROSA 33,https://www.clovis.com.br/tenis-infantil-stream-olympikus---43772253-marinhorosa-0232253190/p,male,male,https://cloviscalcados.vteximg.com.br/arquivos/ids/1606840_2,2147386797,Olympikus,Olympikus,TÊNIS,Infantil - Menino - Tênis,OLYMPIKUS INFANTIL (M),true,,,kids,kids,,shoe,Tênis,,,,0.0,BR,false,,33
Tênis Infantil Masculino Molekinho 2831240 PRETO 27,https://www.clovis.com.br/tenis-infantil-masculino-molekinho-2831240-preto-a0448312001/p,male,male,https://cloviscalcados.vteximg.com.br/arquivos/ids/1340640_2,2147383278,Molekinho,Molekinho,TÊNIS,Infantil - Menino - Tênis,MOLEKINHO INFANTIL (M),true,,,kids,kids,,shoe,Tênis,,,,0.0,BR,false,,27
