name,permalink,gender,feedGender,images,feedProductId,brandName,feedBrandName,categoryName,,feedCategoryName,modelingName,available,sizeType,feedSizes,ageGroup,feedAgeGroup,strongBrandName,strongCategoryType,strongCategoryName,strongSubcategoryName,strongModelName,strongModelingName,weightStyle,sizeSystem,useStrongModeling,barcodes,availableSizes,,,,
lenco renda isis preto,https://www.shopinlove.com.br/lenco-preto,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/da/d0/de/f09a83f8f9a1fbb72466557d9d/lenco-preto-large-1.jpg","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/da/d0/de/f09a83f8f9a1fbb72466557d9d/lenco-preto-large-1.jpg,,IL3332-00002,In love,In love,Undefined,Undefined,,TRUE,,U,adult,adult,,,,,,,0.0,BR,FALSE,,
calca de moletom anna marrom,https://www.shopinlove.com.br/calca-de-moletom-amelia-marrom,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/2a/8f/04/5782d929195ff3ebcda15b8a9e/calca-de-moletom-amelia-marrom-large-1.jpg","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/2a/8f/04/5782d929195ff3ebcda15b8a9e/calca-de-moletom-amelia-marrom-large-1.jpg,,IL1325-5-00005,In love,In love,2 INFERIOR,Undefined,In Love (F),TRUE,,P|M|G|GG|G3|G4|G5,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M|G|GG|G3|G4|G5
calca de moletom anna black coffee,https://www.shopinlove.com.br/calca-de-moletom-anna-black-coffee,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/98/0b/4a/e69b184fa264a1c584f3686db0/calca-de-moletom-anna-black-coffee-large-1.jpg","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/98/0b/4a/e69b184fa264a1c584f3686db0/calca-de-moletom-anna-black-coffee-large-1.jpg,,IL1325-5-00461,In love,In love,2 INFERIOR,Undefined,In Love (F),TRUE,,P|M|G|GG|G3|G4|G5,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M|G|GG|G3|G4|G5
saia paete dourado,https://www.shopinlove.com.br/saia-paete-dourado-1,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/89/95/46/e8446d624ce8581dbbaf7b5ba4/saia-paete-dourado-1-large-1.png","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/89/95/46/e8446d624ce8581dbbaf7b5ba4/saia-paete-dourado-1-large-1.png,,IL3365-00003,In love,In love,2 INFERIOR,Undefined,In Love (F),TRUE,,P|M|G|GG|G3|G4|G5,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M|G|GG|G3|G4|G5
baby tee dancing off white,https://www.shopinlove.com.br/baby-tee-dancing-off-white,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/a1/53/74/00a428eb8fc62a4a2713d0f5ce/baby-tee-dancing-off-white-large-1.jpg","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/a1/53/74/00a428eb8fc62a4a2713d0f5ce/baby-tee-dancing-off-white-large-1.jpg,,IL0012-00004,In love,In love,1 SUPERIOR,Undefined,In Love (F),TRUE,,P|M|G|GG|G3|G4|G5,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M|G|GG|G3|G4|G5
t-shirt over wild soul off white,https://www.shopinlove.com.br/t-shirt-over-wild-soul-off-white,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/2f/19/c8/450ebf9c4163f43c5a7e82090c/t-shirt-over-wild-soul-off-white-large-1.jpg","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/2f/19/c8/450ebf9c4163f43c5a7e82090c/t-shirt-over-wild-soul-off-white-large-1.jpg,,IL0014-00004,In love,In love,1 SUPERIOR,Undefined,In Love (F),TRUE,,P|M|G|GG|G3|G4|G5,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M|G|GG|G3|G4|G5
t-shirt over wild soul preto estonado,https://www.shopinlove.com.br/t-shirt-over-wild-soul-preto-estonado,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/ce/dd/6f/7aed47f12a2800c1ffcf260b27/t-shirt-over-wild-soul-preto-estonado-large-1.jpg","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/ce/dd/6f/7aed47f12a2800c1ffcf260b27/t-shirt-over-wild-soul-preto-estonado-large-1.jpg,,IL0014-00150,In love,In love,1 SUPERIOR,Undefined,In Love (F),TRUE,,P|M|G|GG|G3|G4|G5,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M|G|GG|G3|G4|G5
t-shirt over pretty loud preto estonado,https://www.shopinlove.com.br/t-shirt-over-pretty-loud-preto-estonado,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/91/52/b6/90d4f12f2854c9630a6b62f3b7/t-shirt-over-pretty-loud-preto-estonado-large-1.jpg","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/91/52/b6/90d4f12f2854c9630a6b62f3b7/t-shirt-over-pretty-loud-preto-estonado-large-1.jpg,,IL0013-00150,In love,In love,1 SUPERIOR,Undefined,In Love (F),TRUE,,P|M|G|GG|G3|G4|G5,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M|G|GG|G3|G4|G5
saia paete prata,https://www.shopinlove.com.br/saia-paete-prata-1,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/09/3f/c2/89d768c99925958b4d139e7267/saia-paete-prata-1-large-1.jpg","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/09/3f/c2/89d768c99925958b4d139e7267/saia-paete-prata-1-large-1.jpg,,IL3365-00047,In love,In love,2 INFERIOR,Undefined,In Love (F),TRUE,,P|M|G|GG|G3|G4|G5,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M|G|GG|G3|G4|G5
lenco saiote de renda preto,https://www.shopinlove.com.br/lenco-preto-1,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/8f/61/ba/9d27d0527dd34821d29e7988b8/lenco-preto-1-large-1.jpg","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/8f/61/ba/9d27d0527dd34821d29e7988b8/lenco-preto-1-large-1.jpg,,IL3333-00002,In love,In love,Undefined,Undefined,,TRUE,,SLIM|PLUS,adult,adult,,,,,,,0.0,BR,FALSE,,
