name,permalink,gender,feedGender,images,feedProductId,brandName,feedBrandName,categoryName,feedCategoryName,modelingName,available,sizeType,feedSizes,ageGroup,feedAgeGroup,strongBrandName,strongCategoryType,strongCategoryName,strongSubcategoryName,strongModelName,strongModelingName,weightStyle,sizeSystem,useStrongModeling,barcodes,availableSizes
BRILLIS | Green Socks with shimmer,https://shopmaksu.com/products/15819172872573,,unisex,https://cdn.shopify.com/s/files/1/0604/8746/7214/files/MaksuCalcetin02_ce883ea5-ec37-437e-85e2-ecbbe6b2732f.jpg?v=1771937124,15819172872573,Maksu,Maksu,SOCKS,SOCKS,,TRUE,,35-38|39-41,adult,adult,,,,,,,0.0,EU,FALSE,,
BRILLIS | Bronze Socks with shimmer,https://shopmaksu.com/products/15819170578813,,unisex,https://cdn.shopify.com/s/files/1/0604/8746/7214/files/MaksuCalcetin01.jpg?v=1771937090,15819170578813,Maksu,Maksu,SOCKS,SOCKS,,TRUE,,35-38|39-41,adult,adult,,,,,,,0.0,EU,FALSE,,
GINEVRA | Red Silk Midi Dress,https://shopmaksu.com/products/15781083611517,,unisex,https://cdn.shopify.com/s/files/1/0604/8746/7214/files/MAKSUECOM17667PRES.jpg?v=1769709601,15781083611517,Maksu,Maksu,DRESSES,DRESSES,,TRUE,,XS|S|M|L|XL,adult,adult,,,,,,,0.0,EU,FALSE,,
GINEVRA | Black Silk Maxi Dress,https://shopmaksu.com/products/15781097537917,,unisex,https://cdn.shopify.com/s/files/1/0604/8746/7214/files/MAKSUECOM16922PRES.jpg?v=1769709544,15781097537917,Maksu,Maksu,DRESSES,DRESSES,,TRUE,,XS|S|M|L|XL,adult,adult,,,,,,,0.0,EU,FALSE,,
ZURI | Indigo Blue Linen Wide Leg Trousers,https://shopmaksu.com/products/14972089270653,,unisex,https://cdn.shopify.com/s/files/1/0604/8746/7214/files/SS25PPAN1065618-502_1.jpg?v=1744403103,14972089270653,shopmaksu EU,shopmaksu EU,PANTS,PANTS,,TRUE,,XS|S|M|L|XL,adult,adult,,,,,,,0.0,EU,FALSE,,
ZURI | Indigo Blue Linen Shorts,https://shopmaksu.com/products/14972089303421,,unisex,https://cdn.shopify.com/s/files/1/0604/8746/7214/files/SS25PSHO1123618-502_1.jpg?v=1744726817,14972089303421,shopmaksu EU,shopmaksu EU,PANTS,PANTS,,TRUE,,XS|S|M|L|XL,adult,adult,,,,,,,0.0,EU,FALSE,,
ZURI | Indigo Blue Linen Bow-Front Blouse,https://shopmaksu.com/products/14930135613821,,unisex,https://cdn.shopify.com/s/files/1/0604/8746/7214/files/SS25PBLO1068618-502_1.jpg?v=1744371248,14930135613821,shopmaksu EU,shopmaksu EU,BLOUSES,BLOUSES,,TRUE,,XS|S|M|L|XL,adult,adult,,,,,,,0.0,EU,FALSE,,
ZULIKA | White Embroidered Floral Motifs Cotton Short Dress,https://shopmaksu.com/products/14972089434493,,unisex,https://cdn.shopify.com/s/files/1/0604/8746/7214/files/SS25PDRS1118415-100_1.jpg?v=1744725870,14972089434493,shopmaksu EU,shopmaksu EU,DRESSES,DRESSES,,TRUE,,S|M|L,adult,adult,,,,,,,0.0,EU,FALSE,,
ZULIKA | White Embroidered Floral Motifs Cotton Midi Dress,https://shopmaksu.com/products/14954930110845,,unisex,https://cdn.shopify.com/s/files/1/0604/8746/7214/files/SS25PDRM1117415-100_1.jpg?v=1744724560,14954930110845,shopmaksu EU,shopmaksu EU,DRESSES,DRESSES,,TRUE,,S|M|L,adult,adult,,,,,,,0.0,EU,FALSE,,
ZOYA | White Embroidery Detail Cotton Blouse,https://shopmaksu.com/products/14903624466813,,unisex,https://cdn.shopify.com/s/files/1/0604/8746/7214/files/SS25PBLO1224424-100_7_b8f11817-e477-4710-b79d-73b62479b7ee.jpg?v=1746046436,14903624466813,shopmaksu EU,shopmaksu EU,BLOUSES,BLOUSES,,TRUE,,XS|S|M|L|XL,adult,adult,,,,,,,0.0,EU,FALSE,,
ZOE | T-shirt,https://shopmaksu.com/products/9535115952476,,unisex,https://cdn.shopify.com/s/files/1/0604/8746/7214/files/FW24_20P_20TSH_203161_20502-003_1.jpg?v=1732025006,9535115952476,shopmaksu EU,shopmaksu EU,BLOUSES,BLOUSES,,FALSE,,XS|S|M|L|XL,adult,adult,,,,,,,0.0,EU,FALSE,,
ZOE | Short dress,https://shopmaksu.com/products/9578292314460,,unisex,https://cdn.shopify.com/s/files/1/0604/8746/7214/files/FW24_20P_20DRS_203151_20502-003_1.jpg?v=1732025198,9578292314460,shopmaksu EU,shopmaksu EU,DRESSES,DRESSES,,FALSE,,XS|S|M|L|XL,adult,adult,,,,,,,0.0,EU,FALSE,,
ZIGGY | Midi dress,https://shopmaksu.com/products/9535114772828,,unisex,https://cdn.shopify.com/s/files/1/0604/8746/7214/files/FW24_20P_20DRM_203160_20502-003_1.jpg?v=1732024993,9535114772828,shopmaksu EU,shopmaksu EU,DRESSES,DRESSES,,TRUE,,XS|S|M|L|XL,adult,adult,,,,,,,0.0,EU,FALSE,,
ZIA | Midi dress,https://shopmaksu.com/products/8840436056412,,unisex,https://cdn.shopify.com/s/files/1/0604/8746/7214/files/SS24_20P_20DRM_201456_20472-200_1.jpg?v=1732022829,8840436056412,shopmaksu EU,shopmaksu EU,DRESSES,DRESSES,,FALSE,,XS|S|M|L|XL,adult,adult,,,,,,,0.0,EU,FALSE,,
ZIA | Long sleeve shirt,https://shopmaksu.com/products/8733592289628,,unisex,https://cdn.shopify.com/s/files/1/0604/8746/7214/files/SS24_20P_20SHI_201288_20610-504_1.jpg?v=1732020770,8733592289628,Mass,Mass,BLOUSES,BLOUSES,,FALSE,,S|M|L,adult,adult,,,,,,,0.0,EU,FALSE,,
ZIA | Long sleeve jumpsuit,https://shopmaksu.com/products/8733592191324,,unisex,https://cdn.shopify.com/s/files/1/0604/8746/7214/files/SS24_20P_20JUM_201137_20610-504_1.jpg?v=1732020730,8733592191324,Mass,Mass,JUMPSUITS,JUMPSUITS,,FALSE,,XS|S|M|L|XL,adult,adult,,,,,,,0.0,EU,FALSE,,
