name,permalink,gender,feedGender,images,feedProductId,brandName,feedBrandName,categoryName,feedCategoryName,modelingName,available,sizeType,feedSizes,ageGroup,feedAgeGroup,strongBrandName,strongCategoryType,strongCategoryName,strongSubcategoryName,strongModelName,strongModelingName,weightStyle,sizeSystem,useStrongModeling,barcodes,availableSizes
Thunder Cap,https://www.monkyforce.com/327312759,unisex,unisex,https://acdn-us.mitiendanube.com/tmp/stores/001/307/484/products/img_9029-9c935b909d3d5691dc17719343706022.jpg,327312759,Monky Force,Monky Force,WE RUN THE NIGHT,WE RUN THE NIGHT,,true,,,adult,adult,,,,,,,0.0,CUSTOM,false,,
Girl Dry Tech,https://www.monkyforce.com/324886070,female,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/sin-titulo-3_1080-x-1080-d2d3a41de92c21122117710029934976-1024-1024.jpg,324886070,Monky Force,Monky Force,Full Body,INDUMENTARIA MUJER,Prendas de arriba femenina,true,,S|S|S|S|M|M|M|M|L|L|L|L|XL|XL|XL|XL,adult,adult,,clothes,,,,,0.0,CUSTOM,false,,XS|S|M|L|XL|XXL
Dry Force,https://www.monkyforce.com/324873025,male,unisex,https://acdn-us.mitiendanube.com/tmp/stores/001/307/484/products/img_8944-eee7293c26b33ab1ef17709038633332.jpg,,Monky Force,,Top,,Remeras Clasicas,true,,,adult,adult,,clothes,,,,,0.0,CUSTOM,false,,S|M|L|XL|XXL
Thunder Regular Fit,https://www.monkyforce.com/320285530,male,unisex,https://acdn-us.mitiendanube.com/tmp/stores/001/307/484/products/frente-regular-c7df8cdd96e275be1817691796282659.jpg,320285530,Monky Force,--,Top,WE RUN THE NIGHT,Remeras Clasicas,true,,S|M|L|XL|XXL,adult,adult,,clothes,,,,,0.0,CUSTOM,false,,S|M|L|XL|XXL
Pivote Bandana,https://www.monkyforce.com/319661181,unisex,unisex,https://acdn-us.mitiendanube.com/tmp/stores/001/307/484/products/palca-panue-09-b449fd9ca5fe9f81c017689340480531.jpg,319661181,--,--,NEW DROPS,NEW DROPS,,false,,,adult,adult,,,,,,,0.0,CUSTOM,false,,
Dealer Bandana,https://www.monkyforce.com/319659950,unisex,unisex,https://acdn-us.mitiendanube.com/tmp/stores/001/307/484/products/palca-panue-07-a55e0fe0ddac3b321317689338969305.jpg,319659950,--,--,NEW DROPS,NEW DROPS,,false,,,adult,adult,,,,,,,0.0,CUSTOM,false,,
Thunder Bandana,https://www.monkyforce.com/319658194,unisex,unisex,https://acdn-us.mitiendanube.com/tmp/stores/001/307/484/products/palca-panue-08-c45e0493a060fcaa9817689328860485.jpg,319658194,--,--,NEW DROPS,NEW DROPS,,false,,,adult,adult,,,,,,,0.0,CUSTOM,false,,
Thunder Racing Short,https://www.monkyforce.com/319412461,male,unisex,https://acdn-us.mitiendanube.com/tmp/stores/001/307/484/products/preventa-racing-ec7f9adc73a0cfaf2017688405691829.jpg,319412461,Monky Force,--,Bottom,NEW DROPS,Short Session Hombres,true,,S|M|L|XL|XXL,adult,adult,,clothes,,,,,0.0,CUSTOM,false,,S|M|L|XL|XXL
Dealer Force Short,https://www.monkyforce.com/319406503,male,unisex,https://acdn-us.mitiendanube.com/tmp/stores/001/307/484/products/preventa-ciruclo-short11-09-d4838cd673c08a536b17688390556213.jpg,319406503,Monky Force,--,Top,NEW DROPS,Remeras Clasicas,true,,S|M|L|XL|XXL,adult,adult,,clothes,,,,,0.0,CUSTOM,false,,S|M|L|XL|XXL
Thunder Hybrid Short,https://www.monkyforce.com/319405048,male,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/preventa-fd84588e10dd446ef617688387286716-1024-1024.jpg,319405048,Monky Force,--,Bottom,NEW DROPS,Short Session Hombres,true,,S|M|L|XL|XXL,adult,adult,,clothes,,,,,0.0,CUSTOM,false,,S|M|L|XL|XXL
Dealer Classic Tank,https://www.monkyforce.com/319403950,male,unisex,https://acdn-us.mitiendanube.com/tmp/stores/001/307/484/products/preventa-circulo-a64a45501e8acb219a17688384469795.jpg,319403950,Monky Force,--,Top,NEW DROPS,Remeras Clasicas,true,,S|M|L|XL|XXL,adult,adult,,clothes,,,,,0.0,CUSTOM,false,,S|M|L|XL|XXL
Pivote Classic Tank,https://www.monkyforce.com/319403134,male,unisex,https://acdn-us.mitiendanube.com/tmp/stores/001/307/484/products/preventa-ciruclo-short11-01-ea3f085db0da19212117688381800201.jpg,319403134,Monky Force,--,Top,NEW DROPS,Remeras Clasicas,true,,S|M|L|XL|XXL,adult,adult,,clothes,,,,,0.0,CUSTOM,false,,S|M|L|XL|XXL
Thunder Over Tank,https://www.monkyforce.com/319401704,male,unisex,https://acdn-us.mitiendanube.com/tmp/stores/001/307/484/products/preventa-ciruclo-short11-06-097814f46aee3ce88717688373946320.jpg,319401704,Monky Force,--,Top,NEW DROPS,Remeras Clasicas,true,,S|M|L|XL|XXL,adult,adult,,clothes,,,,,0.0,CUSTOM,false,,S|M|L|XL|XXL
Short Towel,https://www.monkyforce.com/315738889,unisex,unisex,https://acdn-us.mitiendanube.com/tmp/stores/001/307/484/products/gemini_generated_image_bangydbangydbang-6105c6730627d1d29117671916084429.jpg,315738889,--,--,NEW DROPS,NEW DROPS,,true,,,adult,adult,,,,,,,0.0,CUSTOM,false,,
Filipides 42 Run Short,https://www.monkyforce.com/315046512,male,unisex,https://acdn-us.mitiendanube.com/tmp/stores/001/307/484/products/img_8249-a052da2f4a2ab53c5417667675118646.jpg,315046512,Monky Force,--,Bottom,NEW DROPS,Short Session Hombres,true,,S|S|S|M|M|M|L|L|L|XL|XL|XL|XXL|XXL|XXL,adult,adult,,clothes,,,,,0.0,CUSTOM,false,,S|M|L|XL|XXL
Gift Bag,https://www.monkyforce.com/309238218,unisex,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/medidas-c65f9e65f737fc76b417640852994692.jpg,309238218,--,--,ACCESORIOS Y EQUIPAMIENTO,ACCESORIOS Y EQUIPAMIENTO,,false,,,adult,adult,,,,,,,0.0,CUSTOM,false,,
Sesh Short 1.0,https://www.monkyforce.com/305686255,male,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/img_7018-454318d982baf1e61117633888922541-1024-1024.jpg,305686255,Monky Force,--,Bottom,NEW DROPS,Short Session Hombres,true,,S|S|S|S|M|M|M|M|L|L|L|L|XL|XL|XL|XL|XXL|XXL|XXL|XXL,adult,adult,,clothes,,,,,0.0,CUSTOM,false,,S|M|L|XL|XXL
Original Tank,https://www.monkyforce.com/298446245,male,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/img_5319-aa23ca32d793a457ef17597693018396-1024-1024.jpg,298446245,Monky Force,--,Top,NEW DROPS,Remeras Clasicas,true,,S|M|L|XL|XXL,adult,adult,,clothes,,,,,0.0,CUSTOM,false,,S|M|L|XL|XXL
Sesh Short 5.0,https://www.monkyforce.com/297429828,male,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/creativo-sesh-5-0-49598ac8cafc6b711917597661848924-1024-1024.jpg,297429828,Monky Force,--,Bottom,INDUMENTARIA HOMBRE,Short Session Hombres,true,,S|S|S|S|M|M|M|M|L|L|L|L|XL|XL|XL|XL|XXL|XXL|XXL|XXL,adult,adult,,clothes,,,,,0.0,CUSTOM,false,,S|M|L|XL|XXL
The X Short,https://www.monkyforce.com/297286253,male,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/img_4280-197b3a8d4f100ea92317592582905996-1024-1024.jpg,297286253,Monky Force,--,Bottom,INDUMENTARIA HOMBRE,Short Session Hombres,true,,S|S|S|S|M|M|M|M|L|L|L|L|XL|XL|XL|XL|XXL|XXL|XXL|XXL,adult,adult,,clothes,,,,,0.0,CUSTOM,false,,S|M|L|XL|XXL
Gym Towels,https://www.monkyforce.com/297222666,,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/pequenas-npg-01-58defb3cb49d79639c17592434635811-1024-1024.jpg,297222666,--,--,THE HIDDEN ELEMENT,THE HIDDEN ELEMENT,,false,,XMONKYFORCE|CUADRICULADA|BLACK MONKY,adult,adult,,,,,,,0.0,BR,false,,
Toallones MKF,https://www.monkyforce.com/297212412,,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/sin-titulo-3-02-40a0e35f49fa3ac2cc17592411193168-1024-1024.jpg,297212412,--,--,INDUMENTARIA HOMBRE,INDUMENTARIA HOMBRE,,false,,XMONKYFORCE|CUADRICULADA|BLACK MONKY,adult,adult,,,,,,,0.0,BR,false,,
Beach Towels,https://www.monkyforce.com/297208961,,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/sin-titulo-3-01-9e599ad0a0ef4ee76017592407084206-1024-1024.jpg,297208961,--,--,THE HIDDEN ELEMENT,THE HIDDEN ELEMENT,,false,,TIERRA|AIRE|FUEGO|AGUA|THE HIDDEN ELEMENT,adult,adult,,,,,,,0.0,BR,false,,
RUN ON PIMA,https://www.monkyforce.com/296040485,male,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/img_4926-3c76b4c23aa0a89a0617587369456620-1024-1024.jpg,296040485,Monky Force,--,Top,THE HIDDEN ELEMENT,Remeras Clasicas,true,,S|S|M|M|L|L|XL|XL|XXL|XXL,adult,adult,,clothes,,,,,0.0,CUSTOM,false,,S|M|L|XL|XXL
Easy Run Leggin,https://www.monkyforce.com/292030699,male,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/sin-titulo-1-7562fde930c37161d517597660560993-1024-1024.jpg,292030699,Monky Force,--,INDUMENTARIA HOMBRE,THE HIDDEN ELEMENT,Pro line 3.0,true,,S|M|L|XL|XXL,adult,adult,,clothes,,,,,0.0,CUSTOM,false,,S|M|L|XL|XXL
Tournament Pro line Short,https://www.monkyforce.com/290585356,male,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/preventt-b410f3e215224ef9c917564061373376-1024-1024.jpg,290585356,Monky Force,--,Bottom,THE HIDDEN ELEMENT,Short Session Hombres,true,,S|S|S|S|M|M|M|M|L|L|L|L|XL|XL|XL|XL|XXL|XXL|XXL|XXL,adult,adult,,clothes,,,,,0.0,CUSTOM,false,,S|M|L|XL|XXL
Night Reflective Jacket,https://www.monkyforce.com/290532156,male,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/sin-titulo-4-1ddc8e34d6b86f626117595149268826-1024-1024.jpg,290532156,Monky Force,--,Top,THE HIDDEN ELEMENT,Remeras Clasicas,true,,S|M|L|XL|XXL,adult,adult,,clothes,,,,,0.0,CUSTOM,false,,S|M|L|XL|XXL
Racing Tank,https://www.monkyforce.com/290516668,male,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/img_9490-9907cc825486dc0f2517563846827196-1024-1024.jpg,290516668,Monky Force,--,Top,THE HIDDEN ELEMENT,Remeras Clasicas,true,,S|S|S|S|M|M|M|M|L|L|L|L|XL|XL|XL|XL|XXL|XXL|XXL|XXL,adult,adult,,clothes,,,,,0.0,CUSTOM,false,,S|M|L|XL|XXL
Tournament Shirt,https://www.monkyforce.com/290497491,male,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/preventaas-ca3cd457a3cb6c24d317563843042016-1024-1024.jpg,290497491,Monky Force,--,Top,THE HIDDEN ELEMENT,Remeras Clasicas,true,,S|S|S|S|M|M|M|M|L|L|L|L|XL|XL|XL|XL|XXL|XXL|XXL|XXL,adult,adult,,clothes,,,,,0.0,CUSTOM,false,,S|M|L|XL|XXL
Racing Short,https://www.monkyforce.com/290339897,male,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/sin-titulo-1-recuperado-04-5f733b1364e00cbc0d17599429024554-1024-1024.jpg,290339897,Monky Force,--,Bottom,THE HIDDEN ELEMENT,Short Session Hombres,true,,S|S|S|S|M|M|M|M|L|L|L|L|XL|XL|XL|XL|XXL|XXL|XXL|XXL,adult,adult,,clothes,,,,,0.0,CUSTOM,false,,S|M|L|XL|XXL
