name,permalink,gender,feedGender,images,feedProductId,brandName,feedBrandName,categoryName,feedCategoryName,modelingName,available,sizeType,feedSizes,ageGroup,feedAgeGroup,strongBrandName,strongCategoryType,strongCategoryName,strongSubcategoryName,strongModelName,strongModelingName,weightStyle,sizeSystem,useStrongModeling,barcodes,availableSizes
vestido midi decote transpassado,https://shop.skazioficial.com/280400,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/04/280400_vestido-midi-decote-transpassado-442005493_z1_639083779342736144.webp,280400,Skazi,Skazi,CORPO TODO,UNDEFINED,CORPO TODO (F),true,,PP|P|M|G|GG,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G|GG
top corset em renda,https://shop.skazioficial.com/289225,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/92/289225_top-corset-em-renda-462000584_z1_639083732063373159.webp,289225,Skazi,Skazi,SUPERIOR,UNDEFINED,SUPERIOR (F) ,true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
jaqueta jeans manga baloon,https://shop.skazioficial.com/289184,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/91/289184_jaqueta-jeans-manga-baloon-322000347_z1_639083728343169146.webp,289184,Skazi,Skazi,UNDEFINED,UNDEFINED,,true,,36|38|40|42|44,adult,adult,,,,,,,0.0,BR,false,,
vestido midi decote costas,https://shop.skazioficial.com/290830,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/29/08/290830_vestido-midi-decote-costas-442005825_z1_639083723385251537.webp,290830,Skazi,Skazi,CORPO TODO,UNDEFINED,CORPO TODO (F),true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
blusa gola renda vazada,https://shop.skazioficial.com/281259,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/12/281259_blusa-gola-renda-vazada-362001927_z1_639083769145089082.webp,281259,Skazi,Skazi,SUPERIOR,UNDEFINED,SUPERIOR (F) ,true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
conjunto ella,https://shop.skazioficial.com/289252,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/92/289252_conjunto-ella-2222001538_z1_639083733886573505.webp,289252,Skazi,Skazi,CORPO TODO,UNDEFINED,CORPO TODO (F),true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
macacao alfaiataria botao conchas,https://shop.skazioficial.com/280619,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/06/280619_macacao-alfaiataria-botao-conchas-542001211_z1_639083785669926265.webp,280619,Skazi,Skazi,CORPO TODO,UNDEFINED,CORPO TODO (F),true,,PP|P|M|G|GG,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G|GG
top corselet,https://shop.skazioficial.com/287668,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/76/287668_top-corselet-462000583_z1_639083717904555131.webp,287668,Skazi,Skazi,SUPERIOR,UNDEFINED,SUPERIOR (F) ,true,,PP|P|M|G|GG,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G|GG
camisa cut out,https://shop.skazioficial.com/280200,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/02/280200_camisa-cut-out-302000623_z1_639083774414128402.webp,280200,Skazi,Skazi,UNDEFINED,UNDEFINED,,true,,PP|P|M|G|GG,adult,adult,,,,,,,0.0,BR,false,,
vestido midi  entremeios,https://shop.skazioficial.com/283895,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/38/283895_vestido-midi-entremeios-442005628_z1_639083763717074021.webp,283895,Skazi,Skazi,CORPO TODO,UNDEFINED,CORPO TODO (F),true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
