name,permalink,gender,feedGender,images,feedProductId,brandName,feedBrandName,categoryName,feedCategoryName,modelingName,available,sizeType,feedSizes,ageGroup,feedAgeGroup,strongBrandName,strongCategoryType,strongCategoryName,strongSubcategoryName,strongModelName,strongModelingName,weightStyle,sizeSystem,useStrongModeling,barcodes,availableSizes
Sotavento Bikini,https://www.sofiagodinho.com/products/sotavento-bikini,female,female,https://cdn.shopify.com/s/files/1/0702/4302/5146/files/AMP5050.jpg?v=1750017825,sotavento-bikini,Mingle & Co,Mingle & Co,Bikinis,Apparel & Accessories > Clothing > Swimwear,TABELA VERÃO CORPO TODO (F),TRUE,,S|M|L,adult,adult,,clothes,,,,,0.0,BR,FALSE,,S
Fuseta Bikini,https://www.sofiagodinho.com/products/fuseta-bikini,female,female,https://cdn.shopify.com/s/files/1/0702/4302/5146/files/AMP2321.jpg?v=1749852142,fuseta-bikini,Mingle & Co,Mingle & Co,Bikinis,Apparel & Accessories > Clothing > Swimwear,TABELA VERÃO CORPO TODO (F),FALSE,,S|M|L,adult,adult,,clothes,,,,,0.0,BR,FALSE,,
Culatra Bikini,https://www.sofiagodinho.com/products/culatra-bikini,female,female,https://cdn.shopify.com/s/files/1/0702/4302/5146/files/AMP3878.jpg?v=1749822748,culatra-bikini,Mingle & Co,Mingle & Co,Bikinis,Apparel & Accessories > Clothing > Swimwear,TABELA VERÃO CORPO TODO (F),TRUE,,S|M|L,adult,adult,,clothes,,,,,0.0,BR,FALSE,,S|M|L
Noor Bikini,https://www.sofiagodinho.com/products/noor-bikini,female,female,https://cdn.shopify.com/s/files/1/0702/4302/5146/files/AMP6060.jpg?v=1748679401,noor-bikini,Mingle & Co,Mingle & Co,Bikinis,Apparel & Accessories > Clothing > Swimwear,TABELA VERÃO CORPO TODO (F),TRUE,,S,adult,adult,,clothes,,,,,0.0,BR,FALSE,,S
Revenge Swimsuit,https://www.sofiagodinho.com/products/the-revenge-swimsuit,female,female,https://cdn.shopify.com/s/files/1/0702/4302/5146/files/AMP3644.jpg?v=1748548805,the-revenge-swimsuit,Mingle & Co,Mingle & Co,Swimsuits,Apparel & Accessories > Clothing > Swimwear,TABELA VERÃO CORPO TODO (F),TRUE,,S,adult,adult,,clothes,,,,,0.0,BR,FALSE,,S
Acqua Bikini,https://www.sofiagodinho.com/products/acqua-bikini,female,female,https://cdn.shopify.com/s/files/1/0702/4302/5146/files/AMP3137.jpg?v=1771272852,acqua-bikini,Mingle & Co,Mingle & Co,Bikinis,Apparel & Accessories > Clothing > Swimwear,TABELA VERÃO CORPO TODO (F),TRUE,,M,adult,adult,,clothes,,,,,0.0,BR,FALSE,,M
Royal Mansour Swimsuit,https://www.sofiagodinho.com/products/royal-mansour-swimsuit,female,female,https://cdn.shopify.com/s/files/1/0702/4302/5146/files/AMP6603.jpg?v=1747575449,royal-mansour-swimsuit,Mingle & Co,Mingle & Co,Swimsuits,Apparel & Accessories > Clothing > Swimwear,TABELA VERÃO CORPO TODO (F),TRUE,,S,adult,adult,,clothes,,,,,0.0,BR,FALSE,,S
Moledo Bikini,https://www.sofiagodinho.com/products/moledo-bikini,female,female,https://cdn.shopify.com/s/files/1/0702/4302/5146/files/AMP5406.jpg?v=1745662014,moledo-bikini,Mingle & Co,Mingle & Co,Bikinis,Apparel & Accessories > Clothing > Swimwear,TABELA VERÃO CORPO TODO (F),TRUE,,S,adult,adult,,clothes,,,,,0.0,BR,FALSE,,S
Capri Soul Bikini,https://www.sofiagodinho.com/products/capri-soul-bikini,female,female,https://cdn.shopify.com/s/files/1/0702/4302/5146/files/Capri_Soul_1.jpg?v=1768069482,capri-soul-bikini,Mingle & Co,Mingle & Co,Bikinis,Apparel & Accessories > Clothing > Swimwear,TABELA VERÃO CORPO TODO (F),TRUE,,S,adult,adult,,clothes,,,,,0.0,BR,FALSE,,S
Monte-Carlo Bikini,https://www.sofiagodinho.com/products/monte-carlo-bikini,female,female,https://cdn.shopify.com/s/files/1/0702/4302/5146/files/monte-carlo-bikini-701295.jpg?v=1741733717,monte-carlo-bikini,Mingle & Co,Mingle & Co,Bikinis,Apparel & Accessories > Clothing > Swimwear,TABELA VERÃO CORPO TODO (F),TRUE,,S,adult,adult,,clothes,,,,,0.0,BR,FALSE,,S
