name,permalink,gender,feedGender,images,feedProductId,brandName,feedBrandName,categoryName,feedCategoryName,modelingName,available,sizeType,feedSizes,ageGroup,feedAgeGroup,strongBrandName,strongCategoryType,strongCategoryName,strongSubcategoryName,strongModelName,strongModelingName,weightStyle,sizeSystem,useStrongModeling,barcodes,availableSizes
tenis paul cinza,https://svarts.com.br/products/8158518149361,female,female,https://svarts.com.br/cdn/shop/files/365.jpg?v=1765483443&width=3834,8158518149361,SVARTS,SVARTS,4 CALÇADOS,4 CALÇADOS,,true,,38|39|40|41|42|43|44,adult,adult,,,,,,,0.0,BR,false,,
tenis vintage cafe,https://svarts.com.br/products/8158464639217,female,female,https://svarts.com.br/cdn/shop/files/398.jpg?v=1765484331&width=3834,8158464639217,SVARTS,SVARTS,4 CALÇADOS,4 CALÇADOS,,true,,38|39|40|41|42|43|44,adult,adult,,,,,,,0.0,BR,false,,
bota couro plataforma cano medio salto bloco chocolate,https://svarts.com.br/products/8158460641521,female,female,https://svarts.com.br/cdn/shop/files/124.png?v=1766427319&width=3834,8158460641521,SVARTS,SVARTS,14 BOTA COURO PLATAFORMA,14 BOTA COURO PLATAFORMA,SVARTS BOTA COURO PLATAFORMA (F),true,,34|35|36|37|38|39,adult,adult,,shoe,,,,,0.0,BR,false,,34|35|36|37|38|39
sandalia couro salto baixo lia off white,https://svarts.com.br/products/9320170062065,female,female,https://svarts.com.br/cdn/shop/files/Sandalia-Couro-Lia-Off-White-1.jpg?v=1765309714&width=3834,9320170062065,SVARTS,SVARTS,4 CALÇADOS,4 CALÇADOS,SVARTS CALÇADOS (F),true,,34|35|36|37|38|39,adult,adult,,shoe,,,,,0.0,BR,false,,34|35|36|37|38|39
anabela flatform couro bela ouro light,https://svarts.com.br/products/8158504091889,female,female,https://svarts.com.br/cdn/shop/files/Anabela-Flatform-Couro-Bela-Ouro-1.jpg?v=1769537418&width=3834,8158504091889,SVARTS,SVARTS,6 ANABELA BELA ,6 ANABELA BELA ,SVARTS ANABELA BELA (F),true,,34|35|36|37|38|39,adult,adult,,shoe,,,,,0.0,BR,false,,34|35|36|37|38|39
anabela couro corda tira marina marinho perolado,https://svarts.com.br/products/9485400867057,female,female,https://svarts.com.br/cdn/shop/files/9_e545cf30-31aa-41bb-8781-d3e117e5bc4c.svg?v=1771933750&width=3834,9485400867057,SVARTS,SVARTS,8 ANABELA MARINA,8 ANABELA MARINA,SVARTS ANABELA MARINA (F),true,,34|35|36|37|38|39,adult,adult,,shoe,,,,,0.0,BR,false,,34|35|36|37|38|39
sandalia couro salto baixo julia cafe,https://svarts.com.br/products/9407887016177,female,female,https://svarts.com.br/cdn/shop/files/CopiadeSILL11.svg?v=1773244044&width=3834,9407887016177,SVARTS,SVARTS,4 CALÇADOS,4 CALÇADOS,SVARTS CALÇADOS (F),true,,34|35|36|37|38|39,adult,adult,,shoe,,,,,0.0,BR,false,,34|35|36|37|38|39
tenis adri off white,https://svarts.com.br/products/9362423644401,female,female,https://svarts.com.br/cdn/shop/files/Tenis-Couro-A-Sv21-Off-White-1.jpg?v=1769539306&width=3848,9362423644401,SVARTS,SVARTS,4 CALÇADOS,4 CALÇADOS,SVARTS CALÇADOS (F),true,,34|35|36|37|38|39,adult,adult,,shoe,,,,,0.0,BR,false,,34|35|36|37|38|39
tenis vintage preto,https://svarts.com.br/products/8384864682225,female,female,https://svarts.com.br/cdn/shop/files/3_54bcbbcd-f69d-493d-a1a4-b61312796849.jpg?v=1765484986&width=3834,8384864682225,SVARTS,SVARTS,4 CALÇADOS,4 CALÇADOS,,true,,38|39|40|41|42|43|44,adult,adult,,,,,,,0.0,BR,false,,
tenis couro a-sv21 branco 2,https://svarts.com.br/products/9506728837361,female,female,https://svarts.com.br/cdn/shop/files/Tenis-Couro-A-Sv21-Branco-1_a20b6544-3d87-4c89-853c-7c413ac61170.jpg?v=1773165812&width=3895,9506728837361,SVARTS,SVARTS,4 CALÇADOS,4 CALÇADOS,SVARTS CALÇADOS (F),true,,34|35|36|37|38|39,adult,adult,,shoe,,,,,0.0,BR,false,,34|35|36|37|38|39
tenis adri couro snake off white,https://svarts.com.br/products/9360700375281,female,female,https://svarts.com.br/cdn/shop/files/Tenis-Adri-Couro-Snake-Off-White-1.jpg?v=1769539378&width=3895,9360700375281,SVARTS,SVARTS,4 CALÇADOS,4 CALÇADOS,SVARTS CALÇADOS (F),true,,34|35|36|37|38|39,adult,adult,,shoe,,,,,0.0,BR,false,,34|35|36|37|38|39
sandalia couro salto alto navalhado bianca ouro light,https://svarts.com.br/products/9320183300337,female,female,https://svarts.com.br/cdn/shop/files/Sandalia-Couro-Bianca-Ouro-1.jpg?v=1767870935&width=3834,9320183300337,SVARTS,SVARTS,4 CALÇADOS,4 CALÇADOS,SVARTS CALÇADOS (F),true,,34|35|36|37|38|39,adult,adult,,shoe,,,,,0.0,BR,false,,34|35|36|37|38|39
anabela flatform couro ana ouro light,https://svarts.com.br/products/9318282723569,female,female,https://svarts.com.br/cdn/shop/files/Copia_de_SILL_11_2220fc44-df1b-495c-86fa-8ef48b0a0d8d.jpg?v=1765997364&width=3834,9318282723569,SVARTS,SVARTS,7 ANABELA ANA,7 ANABELA ANA,SVARTS ANABELA ANA (F),true,,34|35|36|37|38|39,adult,adult,,shoe,,,,,0.0,BR,false,,34|35|36|37|38|39
sandalia couro salto bloco maria preta,https://svarts.com.br/products/8206476607729,female,female,https://svarts.com.br/cdn/shop/files/100.png?v=1766426880&width=3834,8206476607729,SVARTS,SVARTS,4 CALÇADOS,4 CALÇADOS,SVARTS CALÇADOS (F),true,,34|35|36|37|38|39,adult,adult,,shoe,,,,,0.0,BR,false,,34|35|36|37|38|39
sandalia de couro salto bloco madeira helena preta,https://svarts.com.br/products/8158514774257,female,female,https://svarts.com.br/cdn/shop/files/Sandalia-de-Couro-Salto-Bloco-Madeira-Helena--Preto-1.jpg?v=1769537972&width=3959,8158514774257,SVARTS,SVARTS,4 CALÇADOS,4 CALÇADOS,SVARTS CALÇADOS (F),true,,34|35|36|37|38|39,adult,adult,,shoe,,,,,0.0,BR,false,,34|35|36|37|38|39
anabela flatform couro isa whisky,https://svarts.com.br/products/9246562058481,female,female,https://svarts.com.br/cdn/shop/files/Anabela-Flatform-Couro-Isa-Whisky-1.jpg?v=1769537670&width=3834,9246562058481,SVARTS,SVARTS,4 CALÇADOS,4 CALÇADOS,SVARTS CALÇADOS (F),true,,34|35|36|37|38|39,adult,adult,,shoe,,,,,0.0,BR,false,,34|35|36|37|38|39
anabela couro corda tira marina bege,https://svarts.com.br/products/9246569562353,female,female,https://svarts.com.br/cdn/shop/files/Anabela-Couro-Corda-Tira-Marina-Bege-1.jpg?v=1769536761&width=3959,9246569562353,SVARTS,SVARTS,8 ANABELA MARINA,8 ANABELA MARINA,SVARTS ANABELA MARINA (F),true,,34|35|36|37|38|39,adult,adult,,shoe,,,,,0.0,BR,false,,34|35|36|37|38|39
tenis couro a-sv21 branco,https://svarts.com.br/products/8402680152305,female,female,https://svarts.com.br/cdn/shop/files/Tenis-Couro-A-Sv21-Branco-1.jpg?v=1769539807&width=3895,8402680152305,SVARTS,SVARTS,4 CALÇADOS,4 CALÇADOS,SVARTS CALÇADOS (F),true,,34|35|36|37|38|39,adult,adult,,shoe,,,,,0.0,BR,false,,34|35|36|37|38|39
tenis couro a-sv21 ouro light,https://svarts.com.br/products/9407889866993,female,female,https://svarts.com.br/cdn/shop/files/Tenis-Couro-A-Sv21-Ouro-1.jpg?v=1769539753&width=3848,9407889866993,SVARTS,SVARTS,4 CALÇADOS,4 CALÇADOS,SVARTS CALÇADOS (F),true,,34|35|36|37|38|39,adult,adult,,shoe,,,,,0.0,BR,false,,34|35|36|37|38|39
anabela flatform couro bela whisky,https://svarts.com.br/products/8515573154033,female,female,https://svarts.com.br/cdn/shop/files/Anabela-Flatform-Couro-Bela--Whisky-1.jpg?v=1769537274&width=3834,8515573154033,SVARTS,SVARTS,6 ANABELA BELA ,6 ANABELA BELA ,SVARTS ANABELA BELA (F),true,,34|35|36|37|38|39,adult,adult,,shoe,,,,,0.0,BR,false,,34|35|36|37|38|39
