name,permalink,gender,feedGender,images,feedProductId,brandName,feedBrandName,categoryName,feedCategoryName,modelingName,available,sizeType,feedSizes,ageGroup,feedAgeGroup,strongBrandName,strongCategoryType,strongCategoryName,strongSubcategoryName,strongModelName,strongModelingName,weightStyle,sizeSystem,useStrongModeling,barcodes,availableSizes
saia maxi midi jersey shine,https://www.tufiduek.com.br/282819,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/28/282819_saia-maxi-midi-jersey-shine-84801351_z1_639083481787888987.webp,282819,Tufi Duek,Tufi Duek,2 INFERIOR,UNDEFINED,INFERIOR (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
conjunto lino top com short,https://www.tufiduek.com.br/279867,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/27/98/279867_conjunto-lino-top-com-short-2224800308_z1_639083491023327403.webp,279867,Tufi Duek,Tufi Duek,2 INFERIOR,UNDEFINED,INFERIOR (F),TRUE,,PP|P|M|G|GG,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G|GG
conjunto detalhe macrame,https://www.tufiduek.com.br/279945,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/27/99/279945_conjunto-detalhe-macrame-2224800341_z1_639083492517747379.webp,279945,Tufi Duek,Tufi Duek,3 CORPO TODO,UNDEFINED,CORPO TODO (F),TRUE,,PP|P|M|G|GG,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G|GG
conjunto blusa e short detalhe ilhos,https://www.tufiduek.com.br/285385,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/53/285385_conjunto-blusa-e-short-detalhe-ilhos-2224800356_z1_639083476979356080.webp,285385,Tufi Duek,Tufi Duek,2 INFERIOR,UNDEFINED,INFERIOR (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
short jeans,https://www.tufiduek.com.br/286996,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/69/286996_short-jeans-64800275_z3_639063332516792131.webp,286996,Tufi Duek,Tufi Duek,2 INFERIOR,UNDEFINED,INFERIOR (F),TRUE,,34|36|38|40|42|44|46,adult,adult,,clothes,,,,,0.0,BR,FALSE,,34|36|38|40|42|44|46
conjunto colete e calca ella,https://www.tufiduek.com.br/289351,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/93/289351_conjunto-colete-e-calca-ella-2224800384_z1_639083461306690112.webp,289351,Tufi Duek,Tufi Duek,2 INFERIOR,UNDEFINED,INFERIOR (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
body renda valentine,https://www.tufiduek.com.br/289294,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/92/289294_body-renda-valentine-424800184_z1_639083457308173606.webp,289294,Tufi Duek,Tufi Duek,3 CORPO TODO,UNDEFINED,CORPO TODO (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
conjunto risca de giz camisa e short,https://www.tufiduek.com.br/285390,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/53/285390_conjunto-risca-de-giz-camisa-e-short-2224800357_z1_639083477121293586.webp,285390,Tufi Duek,Tufi Duek,2 INFERIOR,UNDEFINED,INFERIOR (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
vestido longo jersey ilhos,https://www.tufiduek.com.br/279780,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/27/97/279780_vestido-longo-jersey-ilhos-444805243_z1_639083489665182741.webp,279780,Tufi Duek,Tufi Duek,3 CORPO TODO,UNDEFINED,CORPO TODO (F),TRUE,,PP|P|M|G|GG,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G|GG
conjunto cropped e calca em renda,https://www.tufiduek.com.br/288039,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/80/288039_conjunto-cropped-e-calca-em-renda-2224800383_z1_639083466860920029.webp,288039,Tufi Duek,Tufi Duek,2 INFERIOR,UNDEFINED,INFERIOR (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
conjunto blusa ombro so e calca,https://www.tufiduek.com.br/288029,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/80/288029_conjunto-blusa-ombro-so-e-calca-2224800381_z1_639083466506428457.webp,288029,Tufi Duek,Tufi Duek,2 INFERIOR,UNDEFINED,INFERIOR (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
macacao alfaiataria detalhe metal,https://www.tufiduek.com.br/285368,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/53/285368_macacao-alfaiataria-detalhe-metal-544800374_z1_639083476193890825.webp,285368,Tufi Duek,Tufi Duek,3 CORPO TODO,UNDEFINED,CORPO TODO (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
blusa tricot decote cruzado,https://www.tufiduek.com.br/276876,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/27/68/276876_blusa-tricot-decote-cruzado-364802547_z1_639083498561655825.webp,276876,Tufi Duek,Tufi Duek,1 SUPERIOR,UNDEFINED,SUPERIOR (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
vestido curto essenza,https://www.tufiduek.com.br/282350,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/23/282350_vestido-curto-essenza-444805254_z1_639083483546705751.webp,282350,Tufi Duek,Tufi Duek,3 CORPO TODO,UNDEFINED,CORPO TODO (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
body decote torcido em tule elastic,https://www.tufiduek.com.br/282324,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/23/282324_body-decote-torcido-em-tule-elastic-424800180_z1_639083482577430241.webp,282324,Tufi Duek,Tufi Duek,3 CORPO TODO,UNDEFINED,CORPO TODO (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
vestido trench maxi midi,https://www.tufiduek.com.br/289315,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/93/289315_vestido-trench-maxi-midi-444805389_z1_639083459224916437.webp,289315,Tufi Duek,Tufi Duek,3 CORPO TODO,UNDEFINED,CORPO TODO (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
blusa tomara que caia linho,https://www.tufiduek.com.br/279566,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/27/95/279566_blusa-tomara-que-caia-linho-364802565_z1_639083485565899973.webp,279566,Tufi Duek,Tufi Duek,1 SUPERIOR,UNDEFINED,SUPERIOR (F),TRUE,,PP|P|M|G|GG,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G|GG
vestido bandage torcidos tricot,https://www.tufiduek.com.br/284561,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/45/284561_vestido-bandage-torcidos-tricot-444805277_z1_639082540686951370.webp,284561,Tufi Duek,Tufi Duek,3 CORPO TODO,UNDEFINED,CORPO TODO (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
conjunto linho empower,https://www.tufiduek.com.br/285397,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/53/285397_conjunto-linho-empower-2224800367_z1_639083477656493577.webp,285397,Tufi Duek,Tufi Duek,3 CORPO TODO,UNDEFINED,CORPO TODO (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
top tricot paete franjas,https://www.tufiduek.com.br/279814,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/27/98/279814_top-tricot-paete-franjas-464800270_z1_639083490159846917.webp,279814,Tufi Duek,Tufi Duek,1 SUPERIOR,UNDEFINED,SUPERIOR (F),TRUE,,PP|P|M|G|GG,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G|GG
vestido decote glam versalhes,https://www.tufiduek.com.br/287998,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/79/287998_vestido-decote-glam-versalhes-444805368_z3_639052854903620218.webp,287998,Tufi Duek,Tufi Duek,3 CORPO TODO,UNDEFINED,CORPO TODO (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
vestido curto zaia,https://www.tufiduek.com.br/276140,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/27/61/276140_vestido-curto-zaia-444805148_z1_639083506476453520.webp,276140,Tufi Duek,Tufi Duek,3 CORPO TODO,UNDEFINED,CORPO TODO (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
vestido curto renda,https://www.tufiduek.com.br/279759,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/27/97/279759_vestido-curto-renda-444805237_z1_639083488927026883.webp,279759,Tufi Duek,Tufi Duek,3 CORPO TODO,UNDEFINED,CORPO TODO (F),TRUE,,PP|P|M|G|GG,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G|GG
vestido midi jersey ilhos,https://www.tufiduek.com.br/279791,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/27/97/279791_vestido-midi-jersey-ilhos-444805244_z1_639083489840753827.webp,279791,Tufi Duek,Tufi Duek,3 CORPO TODO,UNDEFINED,CORPO TODO (F),TRUE,,PP|P|M|G|GG,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G|GG
macacao prega frontal rivage,https://www.tufiduek.com.br/285374,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/53/285374_macacao-prega-frontal-rivage-544800384_z1_639083476474462530.webp,285374,Tufi Duek,Tufi Duek,3 CORPO TODO,UNDEFINED,CORPO TODO (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
vestido midi decote v,https://www.tufiduek.com.br/281285,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/12/281285_vestido-midi-decote-v-444805168_z1_639083494584392970.webp,281285,Tufi Duek,Tufi Duek,3 CORPO TODO,UNDEFINED,CORPO TODO (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
vestido curto tomara que caia,https://www.tufiduek.com.br/287960,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/79/287960_vestido-curto-tomara-que-caia-444805337_z1_639083463305099900.webp,287960,Tufi Duek,Tufi Duek,3 CORPO TODO,UNDEFINED,CORPO TODO (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
short jeans essencial,https://www.tufiduek.com.br/283308,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/33/283308_short-jeans-essencial-64800272_z1_639082537850626376.webp,283308,Tufi Duek,Tufi Duek,2 INFERIOR,UNDEFINED,INFERIOR (F),TRUE,,34|36|38|40|42|44|46,adult,adult,,clothes,,,,,0.0,BR,FALSE,,34|36|38|40|42|44|46
conjunto alfaiataria power suit,https://www.tufiduek.com.br/273520,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/27/35/273520_conjunto-alfaiataria-power-suit-2224800254_z1_639083502573055947.webp,273520,Tufi Duek,Tufi Duek,3 CORPO TODO,UNDEFINED,CORPO TODO (F),TRUE,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,PP|P|M|G
