name,permalink,gender,feedGender,images,feedProductId,brandName,feedBrandName,categoryName,feedCategoryName,modelingName,available,sizeType,feedSizes,ageGroup,feedAgeGroup,strongBrandName,strongCategoryType,strongCategoryName,strongSubcategoryName,strongModelName,strongModelingName,weightStyle,sizeSystem,useStrongModeling,barcodes,availableSizes
Chaqueta Ignífuga Certificada bicolor,https://vitatex.cl/products/10051658121400,male,unisex,https://cdn.shopify.com/s/files/1/0777/8526/8408/files/CHAQUETA_IGNIFUGA_CERTIFICADA_HOMBRE_1.png?v=1732744605,10051658121400,Vitatex,Vitatex,CHAQUETA,CHAQUETA,Vitatex Superior (M),true,,S|M|L|XL|XXL,adult,adult,,clothes,,,,,0.0,BR,false,,S|M|L|XL|XXL
Legionario Ignífugo,https://vitatex.cl/products/9235610861752,,unisex,https://cdn.shopify.com/s/files/1/0777/8526/8408/files/MUJER_EJEMPLO_5df0b09c-9598-49f2-a16e-20dc339567ee.jpg?v=1729721626,9235610861752,Vitatex,Vitatex,LEGIONARIO,LEGIONARIO,,false,,ÚNICA,adult,adult,,,,,,,0.0,CUSTOM,false,,
Geólogo Ignífugo Certificado bicolor,https://vitatex.cl/products/9235610468536,female,unisex,https://cdn.shopify.com/s/files/1/0777/8526/8408/files/MUJER_EJEMPLO_3c74f78d-d204-4115-9d84-7b9fc8707975.jpg?v=1729721611,9235610468536,Vitatex,Vitatex,3 ALL BODY,GEOLOGO,Vitatex Cuerpo Todo (F),true,,S|M|L|XL|XXL,adult,adult,,clothes,,,,,0.0,BR,false,,S|M|L|XL|XXL
Blusa Ignífuga Certificada (Copia),https://vitatex.cl/products/9877718696120,male,unisex,https://static.sizebay.technology/defaults/no_image.png,9877718696120,Vitatex,Vitatex,BLUSA,BLUSA,Vitatex Superior (M),true,,S|M|L|XL|XXL,adult,adult,,clothes,,,,,0.0,BR,false,,S|M|L|XL|XXL
Balaclava Ignífuga Certificada,https://vitatex.cl/products/9235610927288,,unisex,https://cdn.shopify.com/s/files/1/0777/8526/8408/files/MUJER_EJEMPLO_fb3cf85b-cb85-4c6a-82b8-5717176dc0fa.jpg?v=1729721628,9235610927288,Vitatex,Vitatex,BALACLAVA,BALACLAVA,,false,,ÚNICA,adult,adult,,,,,,,0.0,CUSTOM,false,,
BALACLAVA IGNÍFUGA CERTIFICADA - PROTECCIÓN CERTIFICADA NFPA2112 Y ASTM F1506 | VITATEX,https://vitatex.cl/products/9235609813176,male,male,https://vitatex.cl/cdn/shop/files/BALACLAVA_IGNIFUGA_CERTIFICADA_1.png?v=1734031828&width=1946,9235609813176,Vitatex,Vitatex,UNDEFINED,UNDEFINED,,false,,ÚNICA,adult,adult,,,,,,,0.0,CUSTOM,false,,
POLERÓN IGNÍFUGO CERTIFICADO - PROTECCIÓN CERTIFICADA NFPA2112 Y ASTM F1506 | VITATEX,https://vitatex.cl/products/9235609256120,male,male,https://vitatex.cl/cdn/shop/files/POLERON_IGNIFUGO_CERTIFICADO_HOMBRE_1.png?v=1732744607&width=1946,9235609256120,Vitatex,Vitatex,1 TOP,UNDEFINED,Vitatex Superior (M),true,,S|M|L|XL|XXL,adult,adult,,clothes,,,,,0.0,BR,false,,S|M|L|XL|XXL
POLERA IGNÍFUGA CERTIFICADA - PROTECCIÓN CERTIFICADA NFPA2112 Y ASTM F1506 | VITATEX,https://vitatex.cl/products/9235609190584,male,male,https://vitatex.cl/cdn/shop/files/POLERA_IGNIFUGA_CERTIFICADA_HOMBRE_1-1.png?v=1732744606&width=1946,9235609190584,Vitatex,Vitatex,1 TOP,UNDEFINED,Vitatex Superior (M),true,,S|M|L|XL|XXL,adult,adult,,clothes,,,,,0.0,BR,false,,S|M|L|XL|XXL
POLERA IGNÍFUGA CERTIFICADA - PROTECCIÓN CERTIFICADA NFPA2112 Y ASTM F1506 | VITATEX,https://vitatex.cl/products/9235609125048,male,male,https://vitatex.cl/cdn/shop/files/POLERA_IGNIFUGA_CERTIFICADA_HOMBRE_1.png?v=1732744606&width=1946,9235609125048,Vitatex,Vitatex,1 TOP,UNDEFINED,Vitatex Superior (M),true,,S|M|L|XL|XXL,adult,adult,,clothes,,,,,0.0,BR,false,,S|M|L|XL|XXL
PARKA IGNÍFUGA CERTIFICADA - PROTECCIÓN CERTIFICADA NFPA2112 Y ASTM F1506 | VITATEX,https://vitatex.cl/products/9235609682104,male,male,https://vitatex.cl/cdn/shop/files/CHAQUETA_IGNIFUGA_IMPERMEABLE_CERTIFICADA_HOMBRE_1.png?v=1732744604&width=1946,9235609682104,Vitatex,Vitatex,1 TOP,UNDEFINED,Vitatex Superior (M),true,,S|M|L|XL|XXL,adult,adult,,clothes,,,,,0.0,BR,false,,S|M|L|XL|XXL
OVEROL IGNÍGUFO CERTIFICADO - PROTECCIÓN CERTIFICADA NFPA2112 Y ASTM F1506 | VITATEX,https://vitatex.cl/products/9235608830136,male,male,https://vitatex.cl/cdn/shop/files/OVEROL_IGNIFUGO_CERTIFICADO_AZUL_MARINO_HOMBRE_1.png?v=1732744604&width=1946,9235608830136,Vitatex,Vitatex,3 ALL BODY,UNDEFINED,Vitatex Cuerpo Todo (M),true,,S|M|L|XL|XXL,adult,adult,,clothes,,,,,0.0,BR,false,,S|M|L|XL|XXL
